Principle number,Principle,Indian Position,Remarks,Sub-heading,Topic,number_of_words_Principle,number_of_words_Indian_Position,Pattern_Removed_Principle,Pattern_Removed_Indian_Position,Stopwords_Removed_Principle,Stopwords_Removed_Indian_Position,number_of_words_stopwords_removed_Principle,number_of_words_stopwords_removed_Indian_Position
iii.,"Parent authorities may wish to seek an independent check on data reported by an individual foreign establishment. Where inspection by parent supervisors is permitted, host authorities should welcome such inspections. Where inspection by parent supervisors is not at present possible (or where the parent authority does not use the inspection process), the parent authority can consult the host authority with a view to the host authority checking or commenting on designated features of the bank’s activities, either directly or through the use of the external auditor. Whichever method is chosen, it is important that the results obtained should be available to both host and parent supervisor.","While Indian laws do not prohibit inspection of foreign bank branches by the respective parent supervisor, this is not reciprocated by all countries. The importance of both parent and host supervisor remaining fully informed and exchanging information about the condition of a branch operating abroad is well appreciated.",A country-by-country review would need to be made and appropriate action taken to enter into suitable arrangements with the host country regulation. This should receive urgent attention in relation to those countries which do not permit inspection by the parent country supervisor.,II. Information needs of parent authorities,Information Flows Between Banking Supervisory Authorities,106,48,"Parent authorities may wish to seek an independent check on data reported by an individual foreign establishment. Where inspection by parent supervisors is permitted, host authorities should welcome such inspections. Where inspection by parent supervisors is not at present possible, the parent authority can consult the host authority with a view to the host authority checking or commenting on designated features of the bank’s activities, either directly or through the use of the external auditor. Whichever method is chosen, it is important that the results obtained should be available to both host and parent supervisor.","While Indian laws do not prohibit inspection of foreign bank branches by the respective parent supervisor, this is not reciprocated by all countries. The importance of both parent and host supervisor remaining fully informed and exchanging information about the condition of a branch operating abroad is well appreciated.","Parent authorities may wish seek independent check on data reported individual foreign establishment. Where inspection parent supervisors permitted, host authorities should welcome inspections. Where inspection parent supervisors not present possible, parent authority can consult host authority with view host authority checking or commenting on designated features bank’s activities, either directly or through use external auditor. Whichever method chosen, important that results obtained should available both host and parent supervisor.","While Indian laws do not prohibit inspection foreign bank branches respective parent supervisor, this not reciprocated all countries. The importance both parent and host supervisor remaining fully informed and exchanging information about condition branch operating abroad well appreciated.",69,38
iv.,"If serious problems arise in a foreign establishment, the host authority should consult with the head office or parent bank and also with the parent authority in order to seek possible remedies. If the host authority decides to withdraw banking authorisation from a foreign establishment or take similar action, the parent authority should, where possible, be given prior warning.",Systems are in place for consulting with head office / parent bank and also with the parent authority whenever serious problems arise in a foreign bank branch operating in the country.,,II. Information needs of parent authorities,Information Flows Between Banking Supervisory Authorities,59,31,"If serious problems arise in a foreign establishment, the host authority should consult with the head office or parent bank and also with the parent authority in order to seek possible remedies. If the host authority decides to withdraw banking authorisation from a foreign establishment or take similar action, the parent authority should, where possible, be given prior warning.",Systems are in place for consulting with head office / parent bank and also with the parent authority whenever serious problems arise in a foreign bank branch operating in the country.,"If serious problems arise foreign establishment, host authority should consult with head office or parent bank and also with parent authority order seek possible remedies. If host authority decides withdraw banking authorisation from foreign establishment or take similar action, parent authority should, where possible, given prior warning.",Systems place consulting with head office / parent bank and also with parent authority whenever serious problems arise foreign bank branch operating country.,47,23
i.,"Parent authorities should inform host authorities of changes in supervisory measures which have a significant bearing on the operations of their banks’ foreign establishments. Parent authorities should respond positively to approaches from host authorities for factual information covering, for example, the scope of the activities of a local establishment, its role within the banking group and the application of internal controls and information relevant for effective supervision by host authorities.","Exchanges of such information between parent and host supervisors suo moto is not quite common. Reserve Bank has, however, been providing the host authorities with all such information that they have sought.","In its own turn, RBI has so far not been seeking much information from the parent authorities of banks operating in India. In certain areas of their operations, particularly about the internal about the internal controls exercised by the concerned head offices of banks, more information is desirable. RBI may consider taking steps in that direction.",III. Information needs of host authorities,Information Flows Between Banking Supervisory Authorities,70,32,"Parent authorities should inform host authorities of changes in supervisory measures which have a significant bearing on the operations of their banks’ foreign establishments. Parent authorities should respond positively to approaches from host authorities for factual information covering, for example, the scope of the activities of a local establishment, its role within the banking group and the application of internal controls and information relevant for effective supervision by host authorities.","Exchanges of such information between parent and host supervisors suo moto is not quite common. Reserve Bank has, however, been providing the host authorities with all such information that they have sought.","Parent authorities should inform host authorities changes supervisory measures have significant bearing on operations their banks’ foreign establishments. Parent authorities should respond positively approaches from host authorities factual information covering, example, scope activities local establishment, its role within banking group and application internal controls and information relevant effective supervision host authorities.","Exchanges information between parent and host supervisors suo moto not quite common. Reserve Bank has, however, providing host authorities with all information that they have sought.",51,26
ii.,"Where a parent authority has doubts about the standard of host supervision in a particular country and, as a consequence, is envisaging action which will affect foreign establishments in the territory concerned, advance consultation is recommended so that the host authority may have an opportunity to correct any inadequacies.","The quality of host supervision differs from country to country.

System of advance consultation with the host/parent supervisors is in vogue.",A periodic review would need to be made of the supervisory systems and standards of host supervision where Indian banks have a presence.,III. Information needs of host authorities,Information Flows Between Banking Supervisory Authorities,49,21,"Where a parent authority has doubts about the standard of host supervision in a particular country and, as a consequence, is envisaging action which will affect foreign establishments in the territory concerned, advance consultation is recommended so that the host authority may have an opportunity to correct any inadequacies.",The quality of host supervision differs from country to country.System of advance consultation with the host/parent supervisors is in vogue.,"Where parent authority doubts about standard host supervision particular country and, as consequence, envisaging action will affect foreign establishments territory concerned, advance consultation recommended so that host authority may have opportunity correct any inadequacies.",The quality host supervision differs from country country.System advance consultation with host/parent supervisors vogue.,34,14
iii.,"In the case of particular banks, parent authorities should be ready to take host authorities into their confidence. Even in sensitive cases such as impending changes of ownership or when a bank faces problems, liaison between parent and host authorities may be mutually advantageous.","Parent authorities do not always take the host supervisors into confidence when there are significant events relating to some specific bank, such as impending change in ownership or merger, likely to take place. In the Indian context, this is probably due to the small contribution of Indian operations to the global business of these banks, with the exception of a few.",Greater mutual understanding on the issue would need to be developed amongst the supervisors.,III. Information needs of host authorities,Information Flows Between Banking Supervisory Authorities,44,61,"In the case of particular banks, parent authorities should be ready to take host authorities into their confidence. Even in sensitive cases such as impending changes of ownership or when a bank faces problems, liaison between parent and host authorities may be mutually advantageous.","Parent authorities do not always take the host supervisors into confidence when there are significant events relating to some specific bank, such as impending change in ownership or merger, likely to take place. In the Indian context, this is probably due to the small contribution of Indian operations to the global business of these banks, with the exception of a few.","In case particular banks, parent authorities should ready take host authorities into their confidence. Even sensitive cases as impending changes ownership or when bank faces problems, liaison between parent and host authorities may mutually advantageous.","Parent authorities do not always take host supervisors into confidence when there significant events relating some specific bank, as impending change ownership or merger, likely take place. In Indian context, this probably due small contribution Indian operations global business these banks, with exception few.",35,44
iv.,"If a parent authority is intending to take action to protect the interests of depositors, such action should be coordinated to the extent possible with the host supervisors of the bank’s foreign establishments.","Recent developments, particularly those in the South East Asian countries where large scale bank restructuring took place and is still taking place, show that parent authorities are not always following this as a norm.",RBI should insist on such information sharing as one of the terms on which it permits a foreign bank to open its branch in India.,III. Information needs of host authorities,Information Flows Between Banking Supervisory Authorities,33,34,"If a parent authority is intending to take action to protect the interests of depositors, such action should be coordinated to the extent possible with the host supervisors of the bank’s foreign establishments.","Recent developments, particularly those in the South East Asian countries where large scale bank restructuring took place and is still taking place, show that parent authorities are not always following this as a norm.","If parent authority intending take action protect interests depositors, action should coordinated extent possible with host supervisors bank’s foreign establishments.","Recent developments, particularly South East Asian countries where large scale bank restructuring took place and still taking place, show that parent authorities not always following this as norm.",20,28
i.,Information received should only be used for purposes related to the prudential supervision of financial institutions. It should not be released to other officials in the recipient’s country not involved in prudential supervision.,Secrecy of supervisory information is ensured.,,IV. Removal of secrecy constraints,Information Flows Between Banking Supervisory Authorities,33,6,Information received should only be used for purposes related to the prudential supervision of financial institutions. It should not be released to other officials in the recipient’s country not involved in prudential supervision.,Secrecy of supervisory information is ensured.,Information received should only used purposes related prudential supervision financial institutions. It should not released other officials recipient’s country not involved prudential supervision.,Secrecy supervisory information ensured.,23,4
ii.,"The arrangements for transmitting information should be reciprocal in the sense that a two-way flow should be possible, but strict reciprocity in respect of the detailed characteristics of the information should not be demanded.",Sharing of information is reciprocal and need based.,,IV. Removal of secrecy constraints,Information Flows Between Banking Supervisory Authorities,34,8,"The arrangements for transmitting information should be reciprocal in the sense that a two-way flow should be possible, but strict reciprocity in respect of the detailed characteristics of the information should not be demanded.",Sharing of information is reciprocal and need based.,"The arrangements transmitting information should reciprocal sense that two-way flow should possible, but strict reciprocity respect detailed characteristics information should not demanded.",Sharing information reciprocal and need based.,22,6
iii.,"The confidentiality of information transmitted should be legally protected, except in the event of criminal prosecution. All banking supervisors should, of course, be subject to professional secrecy constraints in respect of information obtained in the course of their activities.",Confidentiality of supervisory information is ensured.,"There is perhaps a case for incorporating strict legal provisions in this regard so that supervisory information should not be shared with any agency, including central or state level vigilance/investigative agencies, but only when specifically called for by a court of law.

As a related BIS document states, it needs to emphasised, even in the event of a court demanding supervisory information, that making such information public may result in the drying up of such information and thus adversely affect the quality of supervision in the long run.",IV. Removal of secrecy constraints,Information Flows Between Banking Supervisory Authorities,39,6,"The confidentiality of information transmitted should be legally protected, except in the event of criminal prosecution. All banking supervisors should, of course, be subject to professional secrecy constraints in respect of information obtained in the course of their activities.",Confidentiality of supervisory information is ensured.,"The confidentiality information transmitted should legally protected, except event criminal prosecution. All banking supervisors should, course, subject professional secrecy constraints respect information obtained course their activities.",Confidentiality supervisory information ensured.,26,4
iv.,"The recipient should undertake, where possible, to consult with the supervisor providing the information if he proposes to take action on the evidence of the information received.","The actual position may vary from case to case. Usually, such consultation with supervisor, after the information has been parted with, does not take place.",Consultation with the supervisor providing the information should be stipulated by law in order to safeguard the integrity and credibility of supervisory system and has relationship of trust between parent and host supervisors.,IV. Removal of secrecy constraints,Information Flows Between Banking Supervisory Authorities,27,25,"The recipient should undertake, where possible, to consult with the supervisor providing the information if he proposes to take action on the evidence of the information received.","The actual position may vary from case to case. Usually, such consultation with supervisor, after the information has been parted with, does not take place.","The recipient should undertake, where possible, consult with supervisor providing information if he proposes take action on evidence information received.","The actual position may vary from case case. Usually, consultation with supervisor, after information parted with, does not take place.",20,20
i.,"The existence of adequate provision for external audit should be a normal condition of authorisation for new establishments. It would be advantageous for the audit firm to be one that audits the parent bank, provided the firm in question has the appropriate capacity and experience in the local centre. Where a foreign affiliate is audited by a different firm, the external auditor of the parent bank should normally have access to the audit papers of the affiliate.","Foreign establishments of Indian banks are usually submitted to an external audit in the host country. Similarly, foreign bank branches in India are submitted to external audit.

Audit reports of Indian bank branches are available to the auditors of the parent bank.",,V. External audit,Information Flows Between Banking Supervisory Authorities,77,42,"The existence of adequate provision for external audit should be a normal condition of authorisation for new establishments. It would be advantageous for the audit firm to be one that audits the parent bank, provided the firm in question has the appropriate capacity and experience in the local centre. Where a foreign affiliate is audited by a different firm, the external auditor of the parent bank should normally have access to the audit papers of the affiliate.","Foreign establishments of Indian banks are usually submitted to an external audit in the host country. Similarly, foreign bank branches in India are submitted to external audit.Audit reports of Indian bank branches are available to the auditors of the parent bank.","The existence adequate provision external audit should normal condition authorisation new establishments. It would advantageous audit firm one that audits parent bank, provided firm question appropriate capacity and experience local centre. Where foreign affiliate audited different firm, external auditor parent bank should normally have access audit papers affiliate.","Foreign establishments Indian banks usually submitted external audit host country. Similarly, foreign bank branches India submitted external audit.Audit reports Indian bank branches available auditors parent bank.",48,26
ii.,"Supervisors have an interest in the quality and thoroughness of audit. In the case of audits that are inadequately conducted, supervisors should address criticism to the local representative body of auditors and should be empowered, where necessary, to have the auditor replaced. As a means of raising auditing standards for international banks, internationally qualified auditors with experience of banking audit in the country concerned should be appointed. Where any doubt arises, host and parent authorities should consult.","In case of problems with quality and thoroughness of audit, RBI takes up with representative body of auditors. Systems are also in place for changing auditors and ‘resting’ them for a period in cases of noticeable deficiencies. The present arrangement in this regard is considered adequate.",,V. External audit,Information Flows Between Banking Supervisory Authorities,77,46,"Supervisors have an interest in the quality and thoroughness of audit. In the case of audits that are inadequately conducted, supervisors should address criticism to the local representative body of auditors and should be empowered, where necessary, to have the auditor replaced. As a means of raising auditing standards for international banks, internationally qualified auditors with experience of banking audit in the country concerned should be appointed. Where any doubt arises, host and parent authorities should consult.","In case of problems with quality and thoroughness of audit, RBI takes up with representative body of auditors. Systems are also in place for changing auditors and ‘resting’ them for a period in cases of noticeable deficiencies. The present arrangement in this regard is considered adequate.","Supervisors have interest quality and thoroughness audit. In case audits that inadequately conducted, supervisors should address criticism local representative body auditors and should empowered, where necessary, have auditor replaced. As means raising auditing standards international banks, internationally qualified auditors with experience banking audit country concerned should appointed. Where any doubt arises, host and parent authorities should consult.","In case problems with quality and thoroughness audit, RBI takes up with representative body auditors. Systems also place changing auditors and ‘resting’ them period cases noticeable deficiencies. The present arrangement this regard considered adequate.",57,34
iii.,"External auditors may also be asked to verify the accuracy of reporting returns or compliance with any special conditions. It is recommended that all supervisory authorities should have the ability to communicate with banks’ external auditors and vice versa. Any emphasis on the role of external auditors should, however, in no way be such as to as downgrade the need for sound internal controls, including provision for effective internal audit.",RBI at present is not normally following the practice of asking external auditors to verify the accuracy of reporting returns or compliance with any special conditions.,RBI could supplement its own supervisory mechanism by making it a regular practice of using external auditors to look specially in certain selected areas and report to it independently.,V. External audit,Information Flows Between Banking Supervisory Authorities,70,26,"External auditors may also be asked to verify the accuracy of reporting returns or compliance with any special conditions. It is recommended that all supervisory authorities should have the ability to communicate with banks’ external auditors and vice versa. Any emphasis on the role of external auditors should, however, in no way be such as to as downgrade the need for sound internal controls, including provision for effective internal audit.",RBI at present is not normally following the practice of asking external auditors to verify the accuracy of reporting returns or compliance with any special conditions.,"External auditors may also asked verify accuracy reporting returns or compliance with any special conditions. It recommended that all supervisory authorities should have ability communicate with banks’ external auditors and vice versa. Any emphasis on role external auditors should, however, no way as as downgrade need sound internal controls, including provision effective internal audit.",RBI present not normally following practice asking external auditors verify accuracy reporting returns or compliance with any special conditions.,54,19
1.0,All international banking groups and international banks should be supervised by a home country authority that capably performs consolidated supervision,"RBI’s present position in this regard is to take a consolidated view of banks’ operations without insisting on consolidation of its accounts with subsidiaries. It leaves it to the respective regulators of the subsidiaries to address the concerns arising out of their operations unless it believes that these will impact the operations of the parent bank very adversely. Going by the same logic, it also does not insist on consolidated supervision of banks which have branches in India, by the home country supervisor.","While RBI has found the present arrangement workable, the position is likely to change quite fast. Indian corporates including banks will be required to submit themselves to consolidated accounts and the supervisor too will insist on consolidated supervision. RBI should also begin encouraging Indian banks and foreign entities operating in India to submit to consolidated supervision.",,Minimum Standards for the Supervision of International Banking Groups and their Cross-Border Establishments,20,83,All international banking groups and international banks should be supervised by a home country authority that capably performs consolidated supervision,"RBI’s present position in this regard is to take a consolidated view of banks’ operations without insisting on consolidation of its accounts with subsidiaries. It leaves it to the respective regulators of the subsidiaries to address the concerns arising out of their operations unless it believes that these will impact the operations of the parent bank very adversely. Going by the same logic, it also does not insist on consolidated supervision of banks which have branches in India, by the home country supervisor.",All international banking groups and international banks should supervised home country authority that capably performs consolidated supervision,"RBI’s present position this regard take consolidated view banks’ operations without insisting on consolidation its accounts with subsidiaries. It leaves respective regulators subsidiaries address concerns arising out their operations unless believes that these will impact operations parent bank very adversely. Going same logic, also does not insist on consolidated supervision banks have branches India, home country supervisor.",17,57
2.0,"The creation of a cross-border banking establishment should receive the prior consent of both the host country supervisory authority and the bank’s and, if different, banking group’s home country supervisory authority",RBI is presently not insisting on separate approvals of the home country supervisors of a foreign bank for every new branch which it wants to open in India. Such approvals are also not insisted upon from the home country supervisor of the banking group (where the bank is part of a banking group and the banking group’s home country is different from the home country of the bank).,RBI needs to consider the desirability of following the recommended approach.,,Minimum Standards for the Supervision of International Banking Groups and their Cross-Border Establishments,31,68,"The creation of a cross-border banking establishment should receive the prior consent of both the host country supervisory authority and the bank’s and, if different, banking group’s home country supervisory authority",RBI is presently not insisting on separate approvals of the home country supervisors of a foreign bank for every new branch which it wants to open in India. Such approvals are also not insisted upon from the home country supervisor of the banking group.,"The creation cross-border banking establishment should receive prior consent both host country supervisory authority and bank’s and, if different, banking group’s home country supervisory authority",RBI presently not insisting on separate approvals home country supervisors foreign bank every new branch wants open India. Such approvals also not insisted upon from home country supervisor banking group.,25,30
3.0,Supervisory authorities should possess the right to gather information from the cross-border banking establishments of the banks or banking groups for which they are the home country supervisor,The principle is acceptable.,Provision of unhindered/ unqualified access to information to the home supervisor may be made a condition for permitting a bank to open offices abroad.,,Minimum Standards for the Supervision of International Banking Groups and their Cross-Border Establishments,28,4,Supervisory authorities should possess the right to gather information from the cross-border banking establishments of the banks or banking groups for which they are the home country supervisor,The principle is acceptable.,Supervisory authorities should possess right gather information from cross-border banking establishments banks or banking groups they home country supervisor,The principle acceptable.,19,3
4.0,"If a host country authority determines that say one of the foregoing minimum standards is not met to its satisfaction, that authority could impose restrictive measures necessary to satisfy its prudential concerns consistent with these minimum standards, including the prohibition of the creation of banking establishments",RBI has the power to impose restrictive measures including the prohibition of the creation of a banking establishment. In the event of any condition not being met to its satisfaction it can always impose a restrictive measure it chooses.,,,Minimum Standards for the Supervision of International Banking Groups and their Cross-Border Establishments,46,39,"If a host country authority determines that say one of the foregoing minimum standards is not met to its satisfaction, that authority could impose restrictive measures necessary to satisfy its prudential concerns consistent with these minimum standards, including the prohibition of the creation of banking establishments",RBI has the power to impose restrictive measures including the prohibition of the creation of a banking establishment. In the event of any condition not being met to its satisfaction it can always impose a restrictive measure it chooses.,"If host country authority determines that say one foregoing minimum standards not met its satisfaction, that authority could impose restrictive measures necessary satisfy its prudential concerns consistent with these minimum standards, including prohibition creation banking establishments",RBI power impose restrictive measures including prohibition creation banking establishment. In event any condition not being met its satisfaction can always impose restrictive measure chooses.,36,25
i.,"In order to exercise comprehensive consolidated supervision of the global activities of their banking organisations, home supervisors must be able to make an assessment of all significant aspects of their banks’ operations that bear on safety and soundness, wherever those operations are conducted and using whatever evaluative techniques are central to their supervisory process.","RBI’s supervisory stance is aimed at exercising comprehensive and consolidated supervision of the global activities of the Indian banks. However, in this regard it faces constraints in countries where the local laws do not permit the home supervisor to conduct on-site inspection/examination of records.

There is no legal or other hindrance to parent supervisors from other countries conducting such inspections of Indian branches of banks under their supervisory jurisdiction.",A country-wise analysis will have to be made and suitable action taken to address the constraints.,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,54,69,"In order to exercise comprehensive consolidated supervision of the global activities of their banking organisations, home supervisors must be able to make an assessment of all significant aspects of their banks’ operations that bear on safety and soundness, wherever those operations are conducted and using whatever evaluative techniques are central to their supervisory process.","RBI’s supervisory stance is aimed at exercising comprehensive and consolidated supervision of the global activities of the Indian banks. However, in this regard it faces constraints in countries where the local laws do not permit the home supervisor to conduct on-site inspection/examination of records.There is no legal or other hindrance to parent supervisors from other countries conducting such inspections of Indian branches of banks under their supervisory jurisdiction.","In order exercise comprehensive consolidated supervision global activities their banking organisations, home supervisors must able make assessment all significant aspects their banks’ operations that bear on safety and soundness, wherever operations conducted and using whatever evaluative techniques central their supervisory process.","RBI’s supervisory stance aimed exercising comprehensive and consolidated supervision global activities Indian banks. However, this regard faces constraints countries where local laws do not permit home supervisor conduct on-site inspection/examination records.There no legal or other hindrance parent supervisors from other countries conducting inspections Indian branches banks under their supervisory jurisdiction.",41,50
ii.,Home supervisors need to be able to verify that quantitative information received from banking organisations in respect of subsidiaries and branches in other jurisdictions is accurate and to reassure themselves that there are no supervisory gaps,"In regard to the quantitative information received from banks in respect of their branches abroad, RBI depends upon the banks providing this information for their accuracy. Such cross checks as are there are also based on the information available from the banks themselves as RBI does not consider it necessary to collect any independent information for reassuring itself that there are no supervisory gaps. At present, the foreign operations of all Indian banks constitute a small part of their total operations, say, less than 20 per cent and therefore the current methodology is considered acceptable.",,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,36,95,Home supervisors need to be able to verify that quantitative information received from banking organisations in respect of subsidiaries and branches in other jurisdictions is accurate and to reassure themselves that there are no supervisory gaps,"In regard to the quantitative information received from banks in respect of their branches abroad, RBI depends upon the banks providing this information for their accuracy. Such cross checks as are there are also based on the information available from the banks themselves as RBI does not consider it necessary to collect any independent information for reassuring itself that there are no supervisory gaps. At present, the foreign operations of all Indian banks constitute a small part of their total operations, say, less than 20 per cent and therefore the current methodology is considered acceptable.",Home supervisors need able verify that quantitative information received from banking organisations respect subsidiaries and branches other jurisdictions accurate and reassure themselves that there no supervisory gaps,"In regard quantitative information received from banks respect their branches abroad, RBI depends upon banks providing this information their accuracy. Such cross checks as there also based on information available from banks themselves as RBI does not consider necessary collect any independent information reassuring itself that there no supervisory gaps. At present, foreign operations all Indian banks constitute small part their total operations, say, less than 20 per cent and therefore current methodology considered acceptable.",27,75
iii.,"While recognising that there are legitimate reasons for protecting customer privacy, the working group believes that secrecy laws should not impede the ability of supervisors to ensure safety and soundness in the international banking system","We are in agreement with the view. Where safety and soundness in the international banking system is likely to come in question, customer privacy should have to lose priority.",,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,35,29,"While recognising that there are legitimate reasons for protecting customer privacy, the working group believes that secrecy laws should not impede the ability of supervisors to ensure safety and soundness in the international banking system","We are in agreement with the view. Where safety and soundness in the international banking system is likely to come in question, customer privacy should have to lose priority.","While recognising that there legitimate reasons protecting customer privacy, working group believes that secrecy laws should not impede ability supervisors ensure safety and soundness international banking system","We agreement with view. Where safety and soundness international banking system likely come question, customer privacy should have lose priority.",27,20
iv.,"If the home supervisor needs information about non-deposit operations, host supervisors are encouraged to assist in providing the requisite information to home supervisors if this is not provided through other supervisory means. The working group believes it is essential that national legislation that in any way obstructs the passage of non-deposit supervisory information be amended.",We are in agreement with the view. In India there is no legislation at present obstructing passage of non-deposit supervisory information either to the parent office or to the home supervisor of the branches of foreign banks.,,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,55,37,"If the home supervisor needs information about non-deposit operations, host supervisors are encouraged to assist in providing the requisite information to home supervisors if this is not provided through other supervisory means. The working group believes it is essential that national legislation that in any way obstructs the passage of non-deposit supervisory information be amended.",We are in agreement with the view. In India there is no legislation at present obstructing passage of non-deposit supervisory information either to the parent office or to the home supervisor of the branches of foreign banks.,"If home supervisor needs information about non-deposit operations, host supervisors encouraged assist providing requisite information home supervisors if this not provided through other supervisory means. The working group believes essential that national legislation that any way obstructs passage non-deposit supervisory information amended.",We agreement with view. In India there no legislation present obstructing passage non-deposit supervisory information either parent office or home supervisor branches foreign banks.,42,24
v.,"Where the liabilities side of the balance sheet is concerned, home supervisors do not routinely need to know the identity of individual depositors. However, in certain well-defined circumstances, home supervisors would need access to individual depositors’ names and to deposit account information.",We are in agreement with this view subject to a prior mutual agreement as regards what are 'well-defined circumstances' in which the home supervisor would need access to individual depositor names and account information. Customer privacy cannot be easily and routinely compromised as it can have serious implication on the banking system. For this arrangement to work it will have to be the basis of mutuality between home and host supervisors and all supervisors would need to agree to it.,,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,42,80,"Where the liabilities side of the balance sheet is concerned, home supervisors do not routinely need to know the identity of individual depositors. However, in certain well-defined circumstances, home supervisors would need access to individual depositors’ names and to deposit account information.",We are in agreement with this view subject to a prior mutual agreement as regards what are 'well-defined circumstances' in which the home supervisor would need access to individual depositor names and account information. Customer privacy cannot be easily and routinely compromised as it can have serious implication on the banking system. For this arrangement to work it will have to be the basis of mutuality between home and host supervisors and all supervisors would need to agree to it.,"Where liabilities side balance sheet concerned, home supervisors do not routinely need know identity individual depositors. However, certain well-defined circumstances, home supervisors would need access individual depositors’ names and deposit account information.",We agreement with this view subject prior mutual agreement as regards what 'well-defined circumstances' home supervisor would need access individual depositor names and account information. Customer privacy cannot easily and routinely compromised as can have serious implication on banking system. For this arrangement work will have basis mutuality between home and host supervisors and all supervisors would need agree it.,32,60
vi.,"It should not normally be necessary for the home supervisor to know the identity of investors for whom a bank in a host country is managing investments at the customer’s risk. However, in certain exceptional circumstances, home supervisors would need access to individual investors’ names and to investment account information subject to the safeguards in paragraph 10.",Our views on the issue are the same as in the case of item (v).,,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,57,15,"It should not normally be necessary for the home supervisor to know the identity of investors for whom a bank in a host country is managing investments at the customer’s risk. However, in certain exceptional circumstances, home supervisors would need access to individual investors’ names and to investment account information subject to the safeguards in paragraph 10.",Our views on the issue are the same as in the case of item.,"It should not normally necessary home supervisor know identity investors whom bank host country managing investments customer’s risk. However, certain exceptional circumstances, home supervisors would need access individual investors’ names and investment account information subject safeguards paragraph 10.",Our views on issue same as case item.,38,8
vii.,"The working group recommends that host supervisors whose legislation does not allow a home supervisor to have access to depositor information use their best endeavours to have their legislation reviewed and if necessary amended to provide for a mechanism whereby in exceptional cases a home supervisor, with the consent of the host supervisor, will gain access to depositor information subject to the same conditions as outlined in (viii) below.","No such restrictions exist in the country.

Laws in India at present do not debar the sharing of depositor information by a branch of foreign bank with its parent office or the home supervisor.",,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,69,34,"The working group recommends that host supervisors whose legislation does not allow a home supervisor to have access to depositor information use their best endeavours to have their legislation reviewed and if necessary amended to provide for a mechanism whereby in exceptional cases a home supervisor, with the consent of the host supervisor, will gain access to depositor information subject to the same conditions as outlined in below.",No such restrictions exist in the country.Laws in India at present do not debar the sharing of depositor information by a branch of foreign bank with its parent office or the home supervisor.,"The working group recommends that host supervisors whose legislation does not allow home supervisor have access depositor information use their best endeavours have their legislation reviewed and if necessary amended provide mechanism whereby exceptional cases home supervisor, with consent host supervisor, will gain access depositor information subject same conditions as outlined below.",No restrictions exist country.Laws India present do not debar sharing depositor information branch foreign bank with its parent office or home supervisor.,52,22
