Principle number,Principle,Indian Position,Remarks,Sub-heading,Topic,number_of_words_Principle,number_of_words_Indian_Position,Pattern_Removed_Principle,Pattern_Removed_Indian_Position,number_of_words_pattern_removed_Principle,number_of_words_pattern_removed_Indian_Position
i.,Information received should only be used for purposes related to the prudential supervision of financial institutions. It should not be released to other officials in the recipient’s country not involved in prudential supervision.,Secrecy of supervisory information is ensured.,,IV. Removal of secrecy constraints,Information Flows Between Banking Supervisory Authorities,33,6,Information received should only be used for purposes related to the prudential supervision of financial institutions. It should not be released to other officials in the recipient’s country not involved in prudential supervision.,Secrecy of supervisory information is ensured.,33,6
ii.,"The arrangements for transmitting information should be reciprocal in the sense that a two-way flow should be possible, but strict reciprocity in respect of the detailed characteristics of the information should not be demanded.",Sharing of information is reciprocal and need based.,,IV. Removal of secrecy constraints,Information Flows Between Banking Supervisory Authorities,34,8,"The arrangements for transmitting information should be reciprocal in the sense that a two-way flow should be possible, but strict reciprocity in respect of the detailed characteristics of the information should not be demanded.",Sharing of information is reciprocal and need based.,34,8
iii.,"The confidentiality of information transmitted should be legally protected, except in the event of criminal prosecution. All banking supervisors should, of course, be subject to professional secrecy constraints in respect of information obtained in the course of their activities.",Confidentiality of supervisory information is ensured.,"There is perhaps a case for incorporating strict legal provisions in this regard so that supervisory information should not be shared with any agency, including central or state level vigilance/investigative agencies, but only when specifically called for by a court of law.

As a related BIS document states, it needs to emphasised, even in the event of a court demanding supervisory information, that making such information public may result in the drying up of such information and thus adversely affect the quality of supervision in the long run.",IV. Removal of secrecy constraints,Information Flows Between Banking Supervisory Authorities,39,6,"The confidentiality of information transmitted should be legally protected, except in the event of criminal prosecution. All banking supervisors should, of course, be subject to professional secrecy constraints in respect of information obtained in the course of their activities.",Confidentiality of supervisory information is ensured.,39,6
iv.,"The recipient should undertake, where possible, to consult with the supervisor providing the information if he proposes to take action on the evidence of the information received.","The actual position may vary from case to case. Usually, such consultation with supervisor, after the information has been parted with, does not take place.",Consultation with the supervisor providing the information should be stipulated by law in order to safeguard the integrity and credibility of supervisory system and has relationship of trust between parent and host supervisors.,IV. Removal of secrecy constraints,Information Flows Between Banking Supervisory Authorities,27,25,"The recipient should undertake, where possible, to consult with the supervisor providing the information if he proposes to take action on the evidence of the information received.","The actual position may vary from case to case. Usually, such consultation with supervisor, after the information has been parted with, does not take place.",27,25
i.,"The existence of adequate provision for external audit should be a normal condition of authorisation for new establishments. It would be advantageous for the audit firm to be one that audits the parent bank, provided the firm in question has the appropriate capacity and experience in the local centre. Where a foreign affiliate is audited by a different firm, the external auditor of the parent bank should normally have access to the audit papers of the affiliate.","Foreign establishments of Indian banks are usually submitted to an external audit in the host country. Similarly, foreign bank branches in India are submitted to external audit.

Audit reports of Indian bank branches are available to the auditors of the parent bank.",,V. External audit,Information Flows Between Banking Supervisory Authorities,77,42,"The existence of adequate provision for external audit should be a normal condition of authorisation for new establishments. It would be advantageous for the audit firm to be one that audits the parent bank, provided the firm in question has the appropriate capacity and experience in the local centre. Where a foreign affiliate is audited by a different firm, the external auditor of the parent bank should normally have access to the audit papers of the affiliate.","Foreign establishments of Indian banks are usually submitted to an external audit in the host country. Similarly, foreign bank branches in India are submitted to external audit.Audit reports of Indian bank branches are available to the auditors of the parent bank.",77,41
ii.,"Supervisors have an interest in the quality and thoroughness of audit. In the case of audits that are inadequately conducted, supervisors should address criticism to the local representative body of auditors and should be empowered, where necessary, to have the auditor replaced. As a means of raising auditing standards for international banks, internationally qualified auditors with experience of banking audit in the country concerned should be appointed. Where any doubt arises, host and parent authorities should consult.","In case of problems with quality and thoroughness of audit, RBI takes up with representative body of auditors. Systems are also in place for changing auditors and ‘resting’ them for a period in cases of noticeable deficiencies. The present arrangement in this regard is considered adequate.",,V. External audit,Information Flows Between Banking Supervisory Authorities,77,46,"Supervisors have an interest in the quality and thoroughness of audit. In the case of audits that are inadequately conducted, supervisors should address criticism to the local representative body of auditors and should be empowered, where necessary, to have the auditor replaced. As a means of raising auditing standards for international banks, internationally qualified auditors with experience of banking audit in the country concerned should be appointed. Where any doubt arises, host and parent authorities should consult.","In case of problems with quality and thoroughness of audit, RBI takes up with representative body of auditors. Systems are also in place for changing auditors and ‘resting’ them for a period in cases of noticeable deficiencies. The present arrangement in this regard is considered adequate.",77,46
iii.,"External auditors may also be asked to verify the accuracy of reporting returns or compliance with any special conditions. It is recommended that all supervisory authorities should have the ability to communicate with banks’ external auditors and vice versa. Any emphasis on the role of external auditors should, however, in no way be such as to as downgrade the need for sound internal controls, including provision for effective internal audit.",RBI at present is not normally following the practice of asking external auditors to verify the accuracy of reporting returns or compliance with any special conditions.,RBI could supplement its own supervisory mechanism by making it a regular practice of using external auditors to look specially in certain selected areas and report to it independently.,V. External audit,Information Flows Between Banking Supervisory Authorities,70,26,"External auditors may also be asked to verify the accuracy of reporting returns or compliance with any special conditions. It is recommended that all supervisory authorities should have the ability to communicate with banks’ external auditors and vice versa. Any emphasis on the role of external auditors should, however, in no way be such as to as downgrade the need for sound internal controls, including provision for effective internal audit.",RBI at present is not normally following the practice of asking external auditors to verify the accuracy of reporting returns or compliance with any special conditions.,70,26
1.0,All international banking groups and international banks should be supervised by a home country authority that capably performs consolidated supervision,"RBI’s present position in this regard is to take a consolidated view of banks’ operations without insisting on consolidation of its accounts with subsidiaries. It leaves it to the respective regulators of the subsidiaries to address the concerns arising out of their operations unless it believes that these will impact the operations of the parent bank very adversely. Going by the same logic, it also does not insist on consolidated supervision of banks which have branches in India, by the home country supervisor.","While RBI has found the present arrangement workable, the position is likely to change quite fast. Indian corporates including banks will be required to submit themselves to consolidated accounts and the supervisor too will insist on consolidated supervision. RBI should also begin encouraging Indian banks and foreign entities operating in India to submit to consolidated supervision.",,Minimum Standards for the Supervision of International Banking Groups and their Cross-Border Establishments,20,83,All international banking groups and international banks should be supervised by a home country authority that capably performs consolidated supervision,"RBI’s present position in this regard is to take a consolidated view of banks’ operations without insisting on consolidation of its accounts with subsidiaries. It leaves it to the respective regulators of the subsidiaries to address the concerns arising out of their operations unless it believes that these will impact the operations of the parent bank very adversely. Going by the same logic, it also does not insist on consolidated supervision of banks which have branches in India, by the home country supervisor.",20,83
2.0,"The creation of a cross-border banking establishment should receive the prior consent of both the host country supervisory authority and the bank’s and, if different, banking group’s home country supervisory authority",RBI is presently not insisting on separate approvals of the home country supervisors of a foreign bank for every new branch which it wants to open in India. Such approvals are also not insisted upon from the home country supervisor of the banking group (where the bank is part of a banking group and the banking group’s home country is different from the home country of the bank).,RBI needs to consider the desirability of following the recommended approach.,,Minimum Standards for the Supervision of International Banking Groups and their Cross-Border Establishments,31,68,"The creation of a cross-border banking establishment should receive the prior consent of both the host country supervisory authority and the bank’s and, if different, banking group’s home country supervisory authority",RBI is presently not insisting on separate approvals of the home country supervisors of a foreign bank for every new branch which it wants to open in India. Such approvals are also not insisted upon from the home country supervisor of the banking group.,31,44
3.0,Supervisory authorities should possess the right to gather information from the cross-border banking establishments of the banks or banking groups for which they are the home country supervisor,The principle is acceptable.,Provision of unhindered/ unqualified access to information to the home supervisor may be made a condition for permitting a bank to open offices abroad.,,Minimum Standards for the Supervision of International Banking Groups and their Cross-Border Establishments,28,4,Supervisory authorities should possess the right to gather information from the cross-border banking establishments of the banks or banking groups for which they are the home country supervisor,The principle is acceptable.,28,4
4.0,"If a host country authority determines that say one of the foregoing minimum standards is not met to its satisfaction, that authority could impose restrictive measures necessary to satisfy its prudential concerns consistent with these minimum standards, including the prohibition of the creation of banking establishments",RBI has the power to impose restrictive measures including the prohibition of the creation of a banking establishment. In the event of any condition not being met to its satisfaction it can always impose a restrictive measure it chooses.,,,Minimum Standards for the Supervision of International Banking Groups and their Cross-Border Establishments,46,39,"If a host country authority determines that say one of the foregoing minimum standards is not met to its satisfaction, that authority could impose restrictive measures necessary to satisfy its prudential concerns consistent with these minimum standards, including the prohibition of the creation of banking establishments",RBI has the power to impose restrictive measures including the prohibition of the creation of a banking establishment. In the event of any condition not being met to its satisfaction it can always impose a restrictive measure it chooses.,46,39
i.,"In order to exercise comprehensive consolidated supervision of the global activities of their banking organisations, home supervisors must be able to make an assessment of all significant aspects of their banks’ operations that bear on safety and soundness, wherever those operations are conducted and using whatever evaluative techniques are central to their supervisory process.","RBI’s supervisory stance is aimed at exercising comprehensive and consolidated supervision of the global activities of the Indian banks. However, in this regard it faces constraints in countries where the local laws do not permit the home supervisor to conduct on-site inspection/examination of records.

There is no legal or other hindrance to parent supervisors from other countries conducting such inspections of Indian branches of banks under their supervisory jurisdiction.",A country-wise analysis will have to be made and suitable action taken to address the constraints.,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,54,69,"In order to exercise comprehensive consolidated supervision of the global activities of their banking organisations, home supervisors must be able to make an assessment of all significant aspects of their banks’ operations that bear on safety and soundness, wherever those operations are conducted and using whatever evaluative techniques are central to their supervisory process.","RBI’s supervisory stance is aimed at exercising comprehensive and consolidated supervision of the global activities of the Indian banks. However, in this regard it faces constraints in countries where the local laws do not permit the home supervisor to conduct on-site inspection/examination of records.There is no legal or other hindrance to parent supervisors from other countries conducting such inspections of Indian branches of banks under their supervisory jurisdiction.",54,68
ii.,Home supervisors need to be able to verify that quantitative information received from banking organisations in respect of subsidiaries and branches in other jurisdictions is accurate and to reassure themselves that there are no supervisory gaps,"In regard to the quantitative information received from banks in respect of their branches abroad, RBI depends upon the banks providing this information for their accuracy. Such cross checks as are there are also based on the information available from the banks themselves as RBI does not consider it necessary to collect any independent information for reassuring itself that there are no supervisory gaps. At present, the foreign operations of all Indian banks constitute a small part of their total operations, say, less than 20 per cent and therefore the current methodology is considered acceptable.",,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,36,95,Home supervisors need to be able to verify that quantitative information received from banking organisations in respect of subsidiaries and branches in other jurisdictions is accurate and to reassure themselves that there are no supervisory gaps,"In regard to the quantitative information received from banks in respect of their branches abroad, RBI depends upon the banks providing this information for their accuracy. Such cross checks as are there are also based on the information available from the banks themselves as RBI does not consider it necessary to collect any independent information for reassuring itself that there are no supervisory gaps. At present, the foreign operations of all Indian banks constitute a small part of their total operations, say, less than 20 per cent and therefore the current methodology is considered acceptable.",36,95
iii.,"While recognising that there are legitimate reasons for protecting customer privacy, the working group believes that secrecy laws should not impede the ability of supervisors to ensure safety and soundness in the international banking system","We are in agreement with the view. Where safety and soundness in the international banking system is likely to come in question, customer privacy should have to lose priority.",,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,35,29,"While recognising that there are legitimate reasons for protecting customer privacy, the working group believes that secrecy laws should not impede the ability of supervisors to ensure safety and soundness in the international banking system","We are in agreement with the view. Where safety and soundness in the international banking system is likely to come in question, customer privacy should have to lose priority.",35,29
iv.,"If the home supervisor needs information about non-deposit operations, host supervisors are encouraged to assist in providing the requisite information to home supervisors if this is not provided through other supervisory means. The working group believes it is essential that national legislation that in any way obstructs the passage of non-deposit supervisory information be amended.",We are in agreement with the view. In India there is no legislation at present obstructing passage of non-deposit supervisory information either to the parent office or to the home supervisor of the branches of foreign banks.,,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,55,37,"If the home supervisor needs information about non-deposit operations, host supervisors are encouraged to assist in providing the requisite information to home supervisors if this is not provided through other supervisory means. The working group believes it is essential that national legislation that in any way obstructs the passage of non-deposit supervisory information be amended.",We are in agreement with the view. In India there is no legislation at present obstructing passage of non-deposit supervisory information either to the parent office or to the home supervisor of the branches of foreign banks.,55,37
v.,"Where the liabilities side of the balance sheet is concerned, home supervisors do not routinely need to know the identity of individual depositors. However, in certain well-defined circumstances, home supervisors would need access to individual depositors’ names and to deposit account information.",We are in agreement with this view subject to a prior mutual agreement as regards what are 'well-defined circumstances' in which the home supervisor would need access to individual depositor names and account information. Customer privacy cannot be easily and routinely compromised as it can have serious implication on the banking system. For this arrangement to work it will have to be the basis of mutuality between home and host supervisors and all supervisors would need to agree to it.,,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,42,80,"Where the liabilities side of the balance sheet is concerned, home supervisors do not routinely need to know the identity of individual depositors. However, in certain well-defined circumstances, home supervisors would need access to individual depositors’ names and to deposit account information.",We are in agreement with this view subject to a prior mutual agreement as regards what are 'well-defined circumstances' in which the home supervisor would need access to individual depositor names and account information. Customer privacy cannot be easily and routinely compromised as it can have serious implication on the banking system. For this arrangement to work it will have to be the basis of mutuality between home and host supervisors and all supervisors would need to agree to it.,42,80
vi.,"It should not normally be necessary for the home supervisor to know the identity of investors for whom a bank in a host country is managing investments at the customer’s risk. However, in certain exceptional circumstances, home supervisors would need access to individual investors’ names and to investment account information subject to the safeguards in paragraph 10.",Our views on the issue are the same as in the case of item (v).,,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,57,15,"It should not normally be necessary for the home supervisor to know the identity of investors for whom a bank in a host country is managing investments at the customer’s risk. However, in certain exceptional circumstances, home supervisors would need access to individual investors’ names and to investment account information subject to the safeguards in paragraph 10.",Our views on the issue are the same as in the case of item.,57,14
vii.,"The working group recommends that host supervisors whose legislation does not allow a home supervisor to have access to depositor information use their best endeavours to have their legislation reviewed and if necessary amended to provide for a mechanism whereby in exceptional cases a home supervisor, with the consent of the host supervisor, will gain access to depositor information subject to the same conditions as outlined in (viii) below.","No such restrictions exist in the country.

Laws in India at present do not debar the sharing of depositor information by a branch of foreign bank with its parent office or the home supervisor.",,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,69,34,"The working group recommends that host supervisors whose legislation does not allow a home supervisor to have access to depositor information use their best endeavours to have their legislation reviewed and if necessary amended to provide for a mechanism whereby in exceptional cases a home supervisor, with the consent of the host supervisor, will gain access to depositor information subject to the same conditions as outlined in below.",No such restrictions exist in the country.Laws in India at present do not debar the sharing of depositor information by a branch of foreign bank with its parent office or the home supervisor.,68,33
viii.,"In order to provide legitimate protection for bank customers, it is important that the information obtained by home supervisors especially that relating to depositors’ or investors’ names, is subject to strict confidentiality. The working group recommends that those host jurisdictions whose legislation allows foreign supervisors to have access to banks’ depositor or investor information should subject such access (at the host country’s discretion) to the following conditions

the purpose for which the information is sought should be specific and supervisory in nature;
information received should be restricted solely to officials engaged in prudential supervision and not be passed to third parties without the host supervisor’s prior consent;
there is assurance that all possible steps will be taken to preserve the confidentiality of information received by a home supervisor in the absence of the explicit consent of the customer;
there should be a two-way flow of information between the host and home supervisors, though perfect reciprocity should not be demanded.
Before taking consequential action, those receiving information will undertake to consult with those supplying it.","We are in agreement. We do not see any reason why perfect reciprocity should not be demanded. In fact, it is felt that without an understanding of perfect reciprocity it would be difficult to put such an arrangement in place. Such consequential action shall only be supervisory and prudential.",RBI is at present not specifying such conditions. It may consider stipulating these conditions whenever foreign supervisors are to be given access to bank’s depositor or investor information.,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,174,49,"In order to provide legitimate protection for bank customers, it is important that the information obtained by home supervisors especially that relating to depositors’ or investors’ names, is subject to strict confidentiality. The working group recommends that those host jurisdictions whose legislation allows foreign supervisors to have access to banks’ depositor or investor information should subject such access to the following conditionsthe purpose for which the information is sought should be specific and supervisory in nature;information received should be restricted solely to officials engaged in prudential supervision and not be passed to third parties without the host supervisor’s prior consent;there is assurance that all possible steps will be taken to preserve the confidentiality of information received by a home supervisor in the absence of the explicit consent of the customer;there should be a two-way flow of information between the host and home supervisors, though perfect reciprocity should not be demanded.Before taking consequential action, those receiving information will undertake to consult with those supplying it.","We are in agreement. We do not see any reason why perfect reciprocity should not be demanded. In fact, it is felt that without an understanding of perfect reciprocity it would be difficult to put such an arrangement in place. Such consequential action shall only be supervisory and prudential.",164,49
ix.,"If a host supervisor has good cause to doubt a home supervisor’s ability to limit the use of information obtained in confidence solely for supervisory purposes, the host would retain the right not to provide such information.","It is not quite clear how this provision can coexist with the provision suggested earlier that secrecy laws should not impede the ability of the supervisors to ensure safety and soundness in the international banking system. (Item (iii) above).

Also, without objective reciprocity on the issue of sharing information between supervisors, information flow may become very uneven making cross-border supervision difficult.",,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,37,61,"If a host supervisor has good cause to doubt a home supervisor’s ability to limit the use of information obtained in confidence solely for supervisory purposes, the host would retain the right not to provide such information.","It is not quite clear how this provision can coexist with the provision suggested earlier that secrecy laws should not impede the ability of the supervisors to ensure safety and soundness in the international banking system. above).Also, without objective reciprocity on the issue of sharing information between supervisors, information flow may become very uneven making cross-border supervision difficult.",37,58
x.,"Subject to appropriate protection for the identity of customers, home supervisors should be able at their discretion, and following consultation with the host supervisor, to carry out on-site inspections in other jurisdictions for the purposes of carrying out effective comprehensive consolidated supervision. This ability should include, with the consent of the host supervisor and within the laws of the host country, the right to look at individual depositors’ names and relevant deposit account information if the home supervisor suspects serious crime as defined in section (d). If a host supervisor has reason to believe that the visit is for non-supervisory purposes, it should have the right to prevent the visit taking place or to terminate the inspection.",The Group is in agreement with this view.,,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,117,8,"Subject to appropriate protection for the identity of customers, home supervisors should be able at their discretion, and following consultation with the host supervisor, to carry out on-site inspections in other jurisdictions for the purposes of carrying out effective comprehensive consolidated supervision. This ability should include, with the consent of the host supervisor and within the laws of the host country, the right to look at individual depositors’ names and relevant deposit account information if the home supervisor suspects serious crime as defined in section. If a host supervisor has reason to believe that the visit is for non-supervisory purposes, it should have the right to prevent the visit taking place or to terminate the inspection.",The Group is in agreement with this view.,116,8
xi.,It would avoid potential misunderstandings if a standard routine were laid down for conducting cross-border inspections along the lines recommended.,Standard routine is not implemented as of now. Nor is it demanded of parent supervisors inspecting branches in India. A standard routine for conducting cross-border inspection as proposed would be difficult.,,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,20,31,It would avoid potential misunderstandings if a standard routine were laid down for conducting cross-border inspections along the lines recommended.,Standard routine is not implemented as of now. Nor is it demanded of parent supervisors inspecting branches in India. A standard routine for conducting cross-border inspection as proposed would be difficult.,20,31
xii.,"In those countries where laws do not allow for on-site inspections use their best endeavours to have their legislation amended. In the meantime, host supervisors should, within the limits of their laws, be willing to co-operate with any home supervisor that wishes to make an inspection. The working group believes that the host supervisor should have the option to accompany the home supervisor throughout the inspection.",We agree. Inspections by the home supervisors are not impeded in any way in India.,,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,66,15,"In those countries where laws do not allow for on-site inspections use their best endeavours to have their legislation amended. In the meantime, host supervisors should, within the limits of their laws, be willing to co-operate with any home supervisor that wishes to make an inspection. The working group believes that the host supervisor should have the option to accompany the home supervisor throughout the inspection.",We agree. Inspections by the home supervisors are not impeded in any way in India.,66,15
xiii.,It is important that the confidentiality of information obtained during the course of an inspection be maintained. Home supervisors should use their best endeavours to have their legislation modified if it does not offer sufficient protection that information obtained for the purposes of effective consolidated supervision is limited to that use.,"We agree. However, the present legal provisions in India in respect of confidentiality of information available with the home supervisor (RBI) do not seem to be providing sufficient protection of information. More clearly defined laws would be needed for this purpose.",,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,51,41,It is important that the confidentiality of information obtained during the course of an inspection be maintained. Home supervisors should use their best endeavours to have their legislation modified if it does not offer sufficient protection that information obtained for the purposes of effective consolidated supervision is limited to that use.,"We agree. However, the present legal provisions in India in respect of confidentiality of information available with the home supervisor do not seem to be providing sufficient protection of information. More clearly defined laws would be needed for this purpose.",51,40
xiv.,"In the event that a home supervisor, during an on-site inspection in a host country detects a serious criminal violation of home country law, the home supervisor may be under a strict legal obligation to pass the information immediately to the appropriate law enforcement authorities in its home country. In these circumstances, the home supervisor should inform the host supervisor of the action he intends to take.",We agree.,,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,67,2,"In the event that a home supervisor, during an on-site inspection in a host country detects a serious criminal violation of home country law, the home supervisor may be under a strict legal obligation to pass the information immediately to the appropriate law enforcement authorities in its home country. In these circumstances, the home supervisor should inform the host supervisor of the action he intends to take.",We agree.,67,2
xv.,"In order to carry out effective comprehensive consolidated supervision, home supervisors also need information on certain qualitative aspects of the business undertaken in other jurisdictions by branches and subsidiaries of banking organisations for which they are the home supervisor. All members of the working group agree that it is essential for effective consolidated supervision that there are no impediments to the passing of such qualitative information to the home supervisor.",There is no restriction in India for passing on such information to other country supervisors regarding the branches of banks under their jurisdiction.,A country-wise analysis will have to be made to ensure reciprocity in this arrangement.,I. Improving the access of home supervisors to information,The Supervision of Cross-Border Banking,70,23,"In order to carry out effective comprehensive consolidated supervision, home supervisors also need information on certain qualitative aspects of the business undertaken in other jurisdictions by branches and subsidiaries of banking organisations for which they are the home supervisor. All members of the working group agree that it is essential for effective consolidated supervision that there are no impediments to the passing of such qualitative information to the home supervisor.",There is no restriction in India for passing on such information to other country supervisors regarding the branches of banks under their jurisdiction.,70,23
i.,"In the case of information which is specific to the local entity, an early sharing of information may be important in enabling a potential problem to be resolved before it becomes serious. The home supervisor should therefore consult the host supervisor in such cases and the latter should report back on its findings. In particular, it is essential that the home supervisor inform the host supervisor immediately if the former has reason to suspect the integrity of the local operation, the quality of its management or the quality of internal controls being exercised by the parent bank.",We are in agreement with this view. This arrangement is likely to improve supervisory efficiency.,,"II. Improving the access of host supervisors to information
necessary for effective host supervision",The Supervision of Cross-Border Banking,97,15,"In the case of information which is specific to the local entity, an early sharing of information may be important in enabling a potential problem to be resolved before it becomes serious. The home supervisor should therefore consult the host supervisor in such cases and the latter should report back on its findings. In particular, it is essential that the home supervisor inform the host supervisor immediately if the former has reason to suspect the integrity of the local operation, the quality of its management or the quality of internal controls being exercised by the parent bank.",We are in agreement with this view. This arrangement is likely to improve supervisory efficiency.,97,15
ii.,A home supervisor should have on its regular mailing list for relevant material all foreign supervisors which act as hosts to its banks.,"This may not be necessary as it could lead to much flow of sparingly needed information between the supervisors. Any information, wherever required is likely to be available on demand or already made public by the concerned supervisor, e.g., on their web sites.",,"II. Improving the access of host supervisors to information
necessary for effective host supervision",The Supervision of Cross-Border Banking,23,43,A home supervisor should have on its regular mailing list for relevant material all foreign supervisors which act as hosts to its banks.,"This may not be necessary as it could lead to much flow of sparingly needed information between the supervisors. Any information, wherever required is likely to be available on demand or already made public by the concerned supervisor, e.g., on their web sites.",23,43
iii.,"While the working group agrees that home supervisors should endeavour to keep host supervisors apprised of material adverse changes in the global condition of banking groups, the Group recognises that this typically be a highly sensitive issue and that decisions on information-sharing necessarily will have to be made on a case-by-case basis.",There cannot be a settled principle on this since it has to be decided on a case-by-case basis.,,"II. Improving the access of host supervisors to information
necessary for effective host supervision",The Supervision of Cross-Border Banking,52,18,"While the working group agrees that home supervisors should endeavour to keep host supervisors apprised of material adverse changes in the global condition of banking groups, the Group recognises that this typically be a highly sensitive issue and that decisions on information-sharing necessarily will have to be made on a case-by-case basis.",There cannot be a settled principle on this since it has to be decided on a case-by-case basis.,52,18
i.,The working group has formulated a set of principles of effective consolidated supervision which could be used by host supervisors as a checklist to assist in determining whether a home supervisor is meeting the Minimum Standards.,"The checklist provided by the working group can act as a good tool for assessing the capabilities of any supervisor to exercise consolidated supervision. However, any assessment of this nature can become arbitrary and lead to considerable difference of opinion between the host and home supervisors. Unless, therefore, there is a general consensus amongst all supervisors on the scope and methodologies of exercising consolidated supervision and until there is an agreement between most supervisors on its acceptance as the common mode of supervision, this approach if insisted upon could become counterproductive.",The principle of consolidated supervision is unexceptionable. Reserve Bank needs to move in that direction. The accounting standards as well as the regulatory provisions need to be reviewed from this angle. A major obstacle in this regard which is faced by us is multiplicity of regulators on mutually exclusive basis. A suitable mechanism to coordinate their approaches shall have to be found.,"III. Ensuring that all cross-border banking operations are 
subject to effective home and host supervision",The Supervision of Cross-Border Banking,36,91,The working group has formulated a set of principles of effective consolidated supervision which could be used by host supervisors as a checklist to assist in determining whether a home supervisor is meeting the Minimum Standards.,"The checklist provided by the working group can act as a good tool for assessing the capabilities of any supervisor to exercise consolidated supervision. However, any assessment of this nature can become arbitrary and lead to considerable difference of opinion between the host and home supervisors. Unless, therefore, there is a general consensus amongst all supervisors on the scope and methodologies of exercising consolidated supervision and until there is an agreement between most supervisors on its acceptance as the common mode of supervision, this approach if insisted upon could become counterproductive.",36,91
ii.,"Regional group procedures might be used to support the implementation of the Minimum Standards, as the Offshore Group is now doing.",Our views are as expressed in regard to item xix.,,"III. Ensuring that all cross-border banking operations are 
subject to effective home and host supervision",The Supervision of Cross-Border Banking,21,10,"Regional group procedures might be used to support the implementation of the Minimum Standards, as the Offshore Group is now doing.",Our views are as expressed in regard to item xix.,21,10
iii.,The working group recommends that other regional groups consider the possibility of using a checklist similar to the one used by Offshore Group as a means of establishing which of their members might be certified as meeting certain general criteria.,Our views are as expressed in regard to item xix.,,"III. Ensuring that all cross-border banking operations are 
subject to effective home and host supervision",The Supervision of Cross-Border Banking,40,10,The working group recommends that other regional groups consider the possibility of using a checklist similar to the one used by Offshore Group as a means of establishing which of their members might be certified as meeting certain general criteria.,Our views are as expressed in regard to item xix.,40,10
iv.,"The Basel Committee encourages its member countries to assist the Offshore Group or another regional group in the fact-finding verification process, but any decision-making regarding membership of a regional group should be left to the group alone. The Committee has asked its Secretariat to maintain a list of competent persons (for example, retired supervisors) who are available to undertake exercises of this nature.",No comments.,,"III. Ensuring that all cross-border banking operations are 
subject to effective home and host supervision",The Supervision of Cross-Border Banking,63,2,"The Basel Committee encourages its member countries to assist the Offshore Group or another regional group in the fact-finding verification process, but any decision-making regarding membership of a regional group should be left to the group alone. The Committee has asked its Secretariat to maintain a list of competent persons who are available to undertake exercises of this nature.",No comments.,59,2
v.,"The supervisor that licenses a so-called shell branch has responsibility for ensuring that there is effective supervision of that shell branch. No banking operation should be permitted without a licence, and no shell office should be licensed without ascertaining that it will be subject to effective supervision. In the event that any host supervisor receives an application to license a new shell branch that will be managed in another jurisdiction, that supervisor should take steps to notify both the home supervisor and the appropriate host supervisor in the other jurisdiction in order to establish that there will be appropriate supervision of the branch before approving the application.","RBI’s position on these issues is the same as stated in the BIS document. It does not permit any banking operations without a licence. It also does not allow opening of any kind of branch of an Indian bank, unless it is satisfied that the branch will be subject to effective supervision.",,"III. Ensuring that all cross-border banking operations are 
subject to effective home and host supervision",The Supervision of Cross-Border Banking,107,52,"The supervisor that licenses a so-called shell branch has responsibility for ensuring that there is effective supervision of that shell branch. No banking operation should be permitted without a licence, and no shell office should be licensed without ascertaining that it will be subject to effective supervision. In the event that any host supervisor receives an application to license a new shell branch that will be managed in another jurisdiction, that supervisor should take steps to notify both the home supervisor and the appropriate host supervisor in the other jurisdiction in order to establish that there will be appropriate supervision of the branch before approving the application.","RBI’s position on these issues is the same as stated in the BIS document. It does not permit any banking operations without a licence. It also does not allow opening of any kind of branch of an Indian bank, unless it is satisfied that the branch will be subject to effective supervision.",107,52
